states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Washington,Lacey,"43,540",176.8,9.2,13.8,20.7,133.2,3362.4,542.0,2650.4,170.0
California,Lake Elsinore,"53,912",241.1,3.7,5.6,105.7,126.1,3583.6,996.1,2116.4,471.1
Arizona,Lake Havasu City,"53,513",108.4,3.7,18.7,13.1,72.9,2534.0,478.4,1891.1,164.4
Minnesota,Lakeville,"56,805",283.1,0.0,,1.8,15.8,1330.9,216.5,1091.5,22.9
Ohio,Lakewood,"51,721",123.7,5.8,5.8,65.7,46.4,1981.8,471.8,1314.7,195.3
Washington,Lakewood,"59,416",782.6,1.7,65.6,181.8,533.5,4869.1,1203.4,3298.8,366.9
Virginia,Leesburg,"44,889",160.4,2.2,24.5,40.1,93.6,2169.8,102.5,2020.5,46.8
Utah,Lehi,"49,375",36.5,0.0,8.1,6.1,22.3,1322.5,255.2,1008.6,58.7
Kansas,Lenexa,"49,222",117.8,2.0,18.3,10.2,87.4,1917.8,188.9,1529.8,199.1
Massachusetts,Leominster,"41,262",656.8,0.0,31.5,109.1,516.2,3189.4,647.1,2423.5,118.8
California,Lincoln,"44,378",31.5,0.0,2.3,11.3,18.0,1140.2,457.4,570.1,112.7
New Jersey,Linden,"40,926",320.1,2.4,12.2,136.8,168.6,2372.6,395.8,1683.5,293.2
Colorado,Littleton,"43,229",129.5,9.3,46.3,34.7,39.3,2887.0,592.2,2107.4,187.4
Utah,Logan,"49,672",64.4,0.0,2.0,6.0,56.4,2107.8,414.7,1620.6,72.5
Illinois,Lombard,"43,482",124.2,2.3,4.6,41.4,75.9,2626.4,271.4,2318.2,36.8
California,Lompoc,"43,120",514.8,7.0,37.1,62.6,408.2,2704.1,723.6,1825.1,155.4
Pennsylvania,Lower Merion Township,"58,252",80.7,0.0,3.4,54.9,22.3,1775.0,329.6,1404.2,41.2
Pennsylvania,Lower Paxton Township,"47,578",239.6,0.0,25.2,94.6,119.8,2194.3,346.8,1811.8,35.7
Alabama,Madison,"43,860",205.2,0.0,9.1,45.6,150.5,2435.0,499.3,1835.4,100.3
New Jersey,Manchester Township,"43,491",46.0,0.0,0.0,2.3,43.7,1050.8,457.6,586.3,6.9
Connecticut,Manchester,"58,444",189.9,1.7,20.5,78.7,89.0,3074.7,492.8,2424.5,157.4
Ohio,Mansfield,"47,480",374.9,2.1,56.9,195.9,120.1,6750.2,2139.8,4431.3,179.0
Texas,Mansfield,"58,490",126.5,3.4,39.3,37.6,46.2,1566.1,288.9,1196.8,80.4
Florida,Margate,"55,010",261.8,5.5,10.9,76.3,169.1,2023.3,561.7,1350.7,110.9
Arizona,Maricopa,"44,881",129.2,2.2,20.1,26.7,80.2,1880.5,345.4,1412.6,122.5
Georgia,Marietta,"57,969",817.7,1.7,20.7,227.7,567.5,4395.5,855.6,3217.2,322.6
New Jersey,Marlboro Township,"40,430",42.0,0.0,2.5,12.4,27.2,794.0,207.8,561.5,24.7
Ohio,Mentor,"47,123",112.5,0.0,31.8,57.3,23.3,2599.6,218.6,2308.9,72.2
Mississippi,Meridian,"41,347",565.9,24.2,79.8,299.9,162.0,5173.3,1775.2,2965.1,432.9
Massachusetts,Methuen,"48,051",162.3,0.0,2.1,29.1,131.1,1810.6,295.5,1369.4,145.7
Ohio,"Miami Township, Clermont County","41,213",34.0,2.4,7.3,9.7,14.6,1916.9,308.2,1589.3,19.4
Pennsylvania,Middletown Township,"45,614",85.5,0.0,4.4,41.7,39.5,3494.5,510.8,2876.3,107.4
Connecticut,Middletown,"47,878",150.4,2.1,2.1,52.2,94.0,1879.8,325.8,1380.6,173.4
Ohio,Middletown,"48,959",733.3,2.0,63.3,167.5,500.4,8225.2,2318.3,5702.7,204.3
Michigan,Midland,"42,106",90.2,2.4,35.6,11.9,40.4,1085.4,133.0,950.0,2.4
Oklahoma,Midwest City,"55,768",529.0,10.8,64.6,82.5,371.2,5347.2,1409.4,3507.4,430.4
Connecticut,Milford,"52,817",87.1,0.0,3.8,62.5,20.8,3002.8,284.0,2595.8,123.1
Pennsylvania,"Millcreek Township, Erie County","53,615",93.3,3.7,11.2,41.0,37.3,2038.6,544.6,1438.0,56.0
Minnesota,Minnetonka,"50,758",283.1,0.0,,9.9,29.6,1647.0,364.5,1239.2,43.3
North Dakota,Minot,"43,460",232.4,0.0,46.0,13.8,172.6,1755.6,179.5,1392.1,184.1
Indiana,Mishawaka,"48,363",330.8,6.2,45.5,113.7,165.4,5783.3,1035.9,4420.7,326.7
Illinois,Moline,"43,509",404.5,0.0,36.8,52.9,314.9,3112.0,468.9,2516.7,126.4
Louisiana,Monroe,"49,474",990.4,10.1,36.4,276.9,667.0,7630.3,2368.9,5103.7,157.7
Oklahoma,Moore,"56,661",135.9,1.8,8.8,35.3,90.0,4205.7,875.4,3002.1,328.3
New Jersey,Mount Laurel Township,"42,150",78.3,0.0,7.1,42.7,28.5,1686.8,320.3,1309.6,56.9
Illinois,Mount Prospect,"54,428",58.8,0.0,0.0,11.0,47.8,1368.8,152.5,1161.2,55.1
California,National City,"59,920",619.2,6.7,30.0,275.4,307.1,3109.1,610.8,1819.1,679.2
New Jersey,New Brunswick,"55,717",685.6,14.4,43.1,387.7,240.5,2711.9,999.7,1563.3,149.0
California,Newark,"43,539",388.2,2.3,32.2,158.5,195.2,3098.4,895.7,1862.7,339.9
Ohio,Newark,"47,787",144.4,0.0,41.9,67.0,35.6,4796.3,1048.4,3567.9,180.0
New York,Niagara Falls,"50,356",1229.2,6.0,51.6,339.6,832.1,5884.1,1489.4,4136.5,258.2
Illinois,Normal,"52,797",215.9,0.0,36.0,64.4,115.5,2473.6,501.9,1924.4,47.4
New Jersey,North Brunswick Township,"41,163",123.9,0.0,4.9,63.2,55.9,1771.0,532.0,1161.2,77.7
Florida,North Lauderdale,"42,352",453.3,7.1,33.1,158.2,255.0,2802.7,935.0,1700.0,167.6
Florida,North Miami Beach,"43,084",647.6,4.6,62.7,301.7,278.5,4614.2,1629.4,2699.4,285.5
Florida,North Port,"58,568",222.0,3.4,34.1,20.5,163.9,1833.8,474.7,1314.7,44.4
Connecticut,Norwich,"40,517",244.3,2.5,44.4,86.4,111.1,2376.8,676.3,1577.1,123.4
California,Novato,"52,942",181.3,0.0,9.4,49.1,122.8,1805.7,455.2,1178.6,171.9
Michigan,Novi,"55,623",66.5,0.0,7.2,16.2,43.1,1884.1,129.4,1684.6,70.1
Illinois,Oak Lawn,"56,964",144.0,0.0,15.8,54.4,73.7,1996.0,198.4,1702.8,94.8
Florida,Oakland Park,"42,701",784.5,0.0,37.5,316.2,430.9,5290.3,1637.0,3377.0,276.3
Florida,Ocala,"57,288",654.6,10.5,73.3,160.6,410.2,5406.0,1057.8,4243.5,104.7
Washington,Olympia,"47,729",314.3,10.5,94.3,77.5,132.0,4368.4,980.5,3151.1,236.8
Illinois,Orland Park,"57,043",28.0,1.8,1.8,7.0,17.5,2382.4,78.9,2275.5,28.0
Arizona,Oro Valley,"41,786",50.3,2.4,9.6,7.2,31.1,1624.9,227.3,1323.4,74.2
Kentucky,Owensboro,"57,751",216.4,0.0,48.5,77.9,90.0,4360.1,812.1,3338.5,209.5
Florida,Palm Beach Gardens,"49,679",151.0,0.0,22.1,60.4,68.4,3188.5,487.1,2598.7,102.7
California,Palm Desert,"50,021",207.9,0.0,12.0,98.0,98.0,4642.1,1453.4,2952.8,235.9
